model,auc,average_precision,precision_macro,recall_macro,f1_macro
logreg,0.8448061174403885,0.6505761500526268,0.7076079588665145,0.7595236249967707,0.7111022466404867
rf,0.8217326719884264,0.5995126150838278,0.7141888796138807,0.676323335658374,0.689375866773444
xgb,0.8101384690898756,0.5936578720683874,0.7097288963195889,0.6957361337156733,0.7018491038845133
